晚翠琴 (月深光清) , LH_piano_066, RH_blade_001,
允诚轻剑 (此夜相识) (此夜相识·一) (此夜相识·四) , RH_sword_195b, RH_sword_195b,
静天刀 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
若有无 (开国戒持·二) (开国戒持·三) (开国戒持·五) , RH_wand_111, RH_wand_111,
蓓洇琴 (千鹤响) , LH_piano_017, RH_blade_017,
不可延 (悬烽英落) , RH_spear_142, RH_spear_142,
纵横天下·祁云剑 (君来对语) , RH_sword_160, RH_sword_160,
桀骜不驯·衔芦弩 (眠机) (眠机·一) , RH_bow_080, RH_bow_080,
天握 (悲白) , LH_BDdagger_007, RH_BDknife_007,
炽焰燃烽·知方笔 (月饮怀) (月饮怀·一) , RH_brush_115, RH_brush_115,
煞·绛玉拨云 , D011087, D011087, , W_五毒95级橙武攻击红黑版01HD
严故禅杖 (群鹊听佛) , RH_wand_155, RH_wand_155,
姹娅古剑 (冷饮) , D007205, D007205,
奇弄笛 (天云水痕) , D011081, D011081,
洛之殇 (绝塞银蛇·二) (绝塞银蛇·三) (绝塞银蛇·五) , RH_knife_046, RH_knife_046,
蛇舌 (唱彻金河) , D011094, D011094,
金戈涉川·知弦 (限光) , RH_sword_286, RH_sword_286,
行酒 (中宵携壶) , Lh_stick_016, RH_flagon_052,
知音觅兮·采葛 (飞渡几字) , RH_sword_103, RH_sword_103,
花恋流年 , D011052c, D011052c, , D011052c_80
绣红罗 (白衣来·二) (白衣来) (白衣来·一) , RH_sword_175, RH_sword_175,
槐清剑 (西天吹裂) (西天吹裂·一) , RH_sword_200, RH_sword_200,
力挽狂澜·述尊之击 (鬓云斑) , RH_bow_004, RH_bow_004,
飞霞双剑 (卿与) , RH_sword_307, RH_sword_307,
极光流影·追星 , RH_bow_092c, RH_bow_092c,
剑鸣朔漠·清歌笛 (碧炉凤) , D011098, D011098,
靖平九州·暗天笔 (月饮怀) (月饮怀·一) , RH_brush_115, RH_brush_115,
漱雪刀 (刺锋) , San_028, San_028,
霓裳玉女勺·火候 (遮断) , RH_sword_040, RH_sword_040,
桑碧双剑 (狂歌) , RH_sword_035, RH_sword_035,
百斩狂澜枪 (武林风) , D010153, D010153,
无华 (茅舍疏篱) , Lh_stick_006, RH_flagon_012,
鹤鸣千山·皓羽 , RH_sword_322c, RH_sword_322c,
施镇五岳 (妙手画雕) (妙手画雕·一) (妙手画雕·二) (妙手画雕·三) , RH_sword_154, RH_sword_154,
暗霜宿 (载地) , LH_shield_002, RH_pike_002,
烟澹双刃 (魂梦) , RH_Sword_034, RH_Sword_034,
茅初 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
碧王 , D007192, D007192, , D007192碧王
青铜剑 (空识) , RH_sword_004, RH_sword_004,
偃星剑 (管弦) , RH_Sword_013, RH_Sword_013,
聊而知命 (行藏) (行藏·一) (行藏·二) (行藏·三) , D007322, D007322,
樱花醉·缕 , RH_sword_215, RH_sword_215g,
明圣枪 (永日) , D010088, D010088,
未济 (载荆) , RH_sword_280, RH_sword_280,
询言 (沧海倒江潮) , RH_brush_125, RH_brush_125,
彩凤双飞 (晴光) , RH_sword_043, RH_sword_043,
战无不胜·枯荣檀棍 (净空涤) , RH_wand_064d, RH_wand_064d,
森罗 (炎池揽月) , Lh_stick_009, RH_flagon_043,
白郡 (待秋风) , LH_shield_005, RH_pike_005,
西海寒 (燕将去) , LH_shield_069, RH_pike_070,
曳影 (萧瑟穿云) , RH_bow_091, RH_bow_091,
乱银醉月·蝎魂 , D011112d, D011112d,
唯识 (梵音寂寂) , RH_wand_154, RH_wand_154,
栖桐琴 (月深光清) , LH_piano_066, RH_blade_001,
射云 (眉绝巅) (眉绝巅·一) (眉绝巅·四) , RH_spear_098b, RH_spear_098b,
流光剑 (冥一相守) , RH_sword_256, RH_sword_256,
观津 (千古澎湃) , LH_piano_042, RH_blade_017,
豪桀 (百川吞海) , RH_knife_001, RH_knife_001,
白鹭刀 (乱香残夜) , San_024, San_024,
孔德剑 (别有洞天) , RH_sword_035, RH_sword_035,
绮疏三岛 (千回梦·二) (千回梦·三) (千回梦·五) , LH_shield_030, RH_pike_030,
龙木金藤 , RH_wand_080, RH_wand_080, , RH_wand_024白骨碎云
气吞山河·灵鹫禅棍 (赤妖睛) , RH_wand_065d, RH_wand_065d,
无华 (山下闻道) , Lh_stick_006, RH_flagon_020,
硬毫·兰竹 (六州) , RH_brush_007, RH_brush_007,
相睿照 (腾龙志) , RH_sword_166b, RH_sword_166b,
明松刀 (斩海) , LH_BDdagger_045, RH_BDknife_045,
云阴罗刹 (白璧青樱) , RH_wand_102, RH_wand_102,
净牧弩 (莫留连·一) (莫留连) , RH_bow_050, RH_bow_050,
戍马无踪 (千回梦·二) (千回梦·三) (千回梦·五) , LH_shield_030, RH_pike_030,
藏剑外功副本武器 (淡水·一) (淡水) , D007230b, D007230b,
堇莹笛 (隐月) , D011103, D011103,
登泰刀 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
急邯郸 (荼妄) , RH_spear_125, RH_spear_125,
青鸾 (貔貅怒) , D007160, D007160,
百鸟朝凤 (世尊) , D010059, D010059,
凌翥刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
猊泉轻剑 (寸肠) , RH_sword_048, RH_sword_048,
鸿灵镇仙 , RH_sword_145, RH_sword_145,
离愁生 (夙夜命星) , RH_bow_060, RH_bow_060,
岩斜笛 (苦颜) , D011025, D011025,
月冷长河·靖世剑 (限光) , RH_sword_286, RH_sword_286,
子秘刀 (道名逝) , RH_knife_006, RH_knife_006,
寻踪觅宝·经辰 (往昔流年) , RH_sword_224, RH_sword_224,
壮志凌云·奇节笔 (卷帘) , RH_brush_064b, RH_brush_064b,
测试装备 , RH_brush_104, RH_brush_104,
密令剑 (潘安) , RH_sword_003, RH_sword_003,
渊微指玄 , RH_sword_250, RH_sword_250, , q_气纯橙武95
青丹弯刀 (容若雕空) , RH_knife_073, RH_knife_073,
逸霄听雨·瀚玥剑 (羹鲈江上) (羹鲈江上·一) , RH_sword_164b, RH_sword_164b,
煞·血云 , LH_shield_019, RH_pike_019, C_苍云煞版橙武盾_01, C_苍云煞版橙武刀_01
紫宇 , RH_sword_114, RH_sword_114,
知天风 (定山河) , LH_BDdagger_002, RH_BDknife_002,
桀骜千夜·焚券之击 (芳草姑苏) , RH_bow_009, RH_bow_009,
余愁晚 (萧瑟穿云) , RH_bow_091, RH_bow_091,
肃耳枪 (旧事不念) , RH_spear_074, RH_spear_074,
名动天下·若灿双刃 (金青明王) (金青明王·一) , RH_knife_053, RH_knife_053,
贝叶刀 (乱心月刃) , RH_knife_064, RH_knife_064,
渡寒烟 (荒骨吹) , D011096, D011096,
逸致 (红颜吹度) (红颜吹度·一) (红颜吹度·四) , RH_brush_110b, RH_brush_110b,
患忧 (今生苦) , RH_wand_122, RH_wand_122,
我武惟扬·光熙重剑 (放歌) (放歌·一) , D007305b, D007305b,
采葑 (有穷无极·二) (有穷无极·三) (有穷无极·五) , RH_sword_196, RH_sword_196,
云沉鲨 (绝思人) (绝思人·一) , RH_bow_045, RH_bow_045,
文韬武略·新邦轻剑 (长生明水) , RH_sword_263, RH_sword_263,
清波汇海·忘归短棒 (豪音飞声) (豪音飞声·一) , Lh_stick_005, RH_flagon_046,
悲云凝 (焚情祭火) , RH_knife_087, RH_knife_087,
鼍画·江亭 (折花几步) , LH_piano_025, RH_blade_005,
寻踪觅宝·携手 (默默相随) , RH_sword_223, RH_sword_223,
攻无不克·思量琴 (轩昂色) , LH_piano_014, RH_blade_014,
沟草弩 (东风扫) (东风扫·一) (东风扫·二) (东风扫·三) , RH_bow_052, RH_bow_052,
白凤灵蛇 (对镜) , D011006, D011006,
镇雄 (小楼夜阑) , RH_bow_021, RH_bow_021,
碧流 (欲说千年) , Lh_stick_007, RH_flagon_011,
江月吟 (忆故园) , LH_piano_082, RH_blade_070,
睿慈 (飞骨纤烟) , RH_wand_102b, RH_wand_102b,
映旗 (妖督) , LH_shield_067, RH_pike_068,
大厨青玉葱·水煮 (步云歌) , D011047, D011047,
沧海狂澜·闲舟伞 (枯枝萤朵) , San_033, San_033,
勾振骨笛 (涤粹) , D011060, D011060,
朱黄参 (红颜吹度) (红颜吹度·一) (红颜吹度·四) , RH_brush_110b, RH_brush_110b,
玉知 (笑说有恨) , RH_sword_231, RH_sword_231,
急雪双剑 (幽树夜花) , RH_sword_343, RH_sword_343,
春雨洇茵 (相思不苦·二) (相思不苦·三) (相思不苦·五) , RH_sword_197, RH_sword_197,
赤峡双刃 (风尘) , RH_Sword_011, RH_Sword_011,
楚枫双剑 (不禁流苏) , RH_sword_255, RH_sword_255,
斗魁短剑 (坚牢) , RH_sword_015, RH_sword_015,
真朴 (刺锋) , San_028, San_028,
地渊沉星 , RH_bow_003, RH_bow_003, , bow_003红
塞雪蒸鱼屉·清蒸 (携鱼归) , LH_shield_046, RH_pike_046,
劈山斧 (黄阁梦乱) , RH_axe_001, RH_axe_001,
子临弩 (玉千杆) , RH_bow_007, RH_bow_007,
拒仙琴 (雪霜落) , LH_piano_028, RH_blade_014,
山河定鼎·琅烈 , LH_shield_081d, RH_pike_081d,
法云 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
剑试天下·九霄赤棒 (飞鱼翻空) , Lh_stick_001, RH_flagon_015,
名满天下·摄生之柱 (日初) , RH_wand_091, RH_wand_091,
两叶 (云燕成双) , San_002, San_002,
北阑剑 (隐月) , D011103, D011103,
宿沙枪·曜 , RH_spear_115, RH_spear_115,
自致重剑 (贯川流) (贯川流·一) (贯川流·四) , D007318b, D007318b,
朝林 (定山河) , LH_BDdagger_002, RH_BDknife_002,
鬼柳 (虚度) , D007148, D007148,
排鹤 (欲说千年) , Lh_stick_007, RH_flagon_011,
纵横天下·越龙劲弩 (浆纱笼烛) , RH_bow_037, RH_bow_037,
不须归 (定山河) , LH_BDdagger_002, RH_BDknife_002,
千岳闻钟 (云燕成双) , San_002, San_002,
不染心 (沧浪回崖) , RH_wand_157, RH_wand_157,
花落幕 (一点千古意) , Lh_stick_008, RH_flagon_001,
力挽狂澜·拘律柱 (蓝湖凤鸾) , RH_wand_062f, RH_wand_062f,
辉豹 (刺疆) , RH_knife_075, RH_knife_075,
青玄重剑 (腾蛟) , D007391, D007391,
午火 (道名逝) , RH_knife_006, RH_knife_006,
参差星 (蘸蓝) , RH_brush_138, RH_brush_138,
荒西刀 (何枝可依) , LH_shield_085, RH_pike_085,
金景剑 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
侵睛 (灵台雪饮) , RH_bow_040b, RH_bow_040b,
舟水轻剑 (梧叶星霜) , RH_sword_342, RH_sword_342,
万蛊青冥 (功成) , D011060b, D011060b,
傲视天下·苍澜盾刀 (孤屿) , LH_shield_006, RH_pike_006,
析月枪 (青羽护) , RH_spear_127, RH_spear_127,
束晰竹笔 (谈笑) , RH_brush_018, RH_brush_018,
赤羽疾风·冶梦双剑 (谪仙一笑) (谪仙一笑·一) , RH_sword_194, RH_sword_194,
龙泉短剑 (天外天) , RH_sword_009, RH_sword_009,
离火 (鹤狸) (鹤狸·一) , RH_knife_035b, RH_knife_035b,
月冷长河·招邪短棍 (雾沾襟) , Lh_stick_033, RH_flagon_069,
清时棒 (茅舍疏篱) , Lh_stick_006, RH_flagon_012,
倚秋寒 (潜龙镇恶) , LH_BDdagger_050, RH_BDknife_050,
十年天涯 (斫良木) , LH_piano_004, RH_blade_004,
鸿雁长飞剑 (秋水) , D007186, D007186,
三坛岗 (欲说千年) , Lh_stick_007, RH_flagon_011,
月照青枫·烨磊弩 (仙风胜调) (仙风胜调·一) , RH_bow_048, RH_bow_048,
紫吴 (云燕成双) , San_002, San_002,
游锋蔽日 (昊芒) , RH_spear_109, RH_spear_109,
惟清·麟趾枪 (明朝折花) (明朝折花·一) , RH_spear_099, RH_spear_099,
剑破九州·霜天轻剑 (影乱指) (影乱指·一) , RH_sword_210, RH_sword_210,
非世 (造化圆通) , RH_sword_230, RH_sword_230,
千金诺 (年少时) , D010178, D010178,
盈缺 , LH_piano_057, RH_blade_057, C_长歌95级橙武琴伤害_01, C_长歌95级橙武剑伤害_01
眠容 (横吐诺然·二) (横吐诺然·三) (横吐诺然·五) , D011069, D011069,
惟清·木缪弩 (莫留连·一) (莫留连) , RH_bow_050, RH_bow_050,
桀骜不驯·杳星笛 (腾浮烟) (腾浮烟·一) , D011100, D011100,
飞汉刀 (刺锋) , San_028, San_028,
将奋 (送春日) , RH_spear_088b, RH_spear_088b,
皈依棍 (遗忘) , RH_wand_029, RH_wand_029,
剑胆琴心·卷阵笛 (天沉) (天沉·一) , D011053, D011053,
锈蚀的浮沙刀 (云燕成双) , San_002, San_002,
追魂 (鹊法) , D010032, D010032,
萃瑶琴 (风归水) , LH_piano_032, RH_blade_018,
唐门内功副本武器 (鬓云斑) , RH_bow_004, RH_bow_004,
氐凰重剑 (秋阑藉风) , D007411, D007411,
澄辉双刀 (为无衣天) (为无衣天·一) , RH_knife_050, RH_knife_050,
苍颜刀 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
秋香雨 (沧海倒江潮) , RH_brush_125, RH_brush_125,
陌上尘 (霜悦无声) , D011113, D011113,
流水洒芳 (相思不苦·二) (相思不苦·三) (相思不苦·五) , RH_sword_197, RH_sword_197,
醉解敌颅·常觉剑 (孤清化雪) (孤清化雪·一) , RH_sword_327, RH_sword_327,
断风 (悲风泣) , LH_BDdagger_053, RH_BDknife_053,
谪仙轻剑 (狱水梅池) , D007143, D007143,
八荒纵横 (无争) , D010087, D010087,
桀骜不驯·烽蓟枪 (风黯鬃) (风黯鬃·一) , RH_spear_128, RH_spear_128,
蝎心忘情 , D011050_诛皇蝎02, D011050_诛皇蝎02,
焚百家 (峰撑空寒) (峰撑空寒·一) (峰撑空寒·二) (峰撑空寒·三) , RH_knife_052, RH_knife_052,
天道惑颜 (万里深雪) (万里深雪·一) , RH_sword_184, RH_sword_184,
逸霄听雨·柔婉双剑 (先生莫猜) (先生莫猜·一) , RH_sword_165b, RH_sword_165b,
大厨熏猪腿·刀功 (南柯梦) , D007232, D007232,
南风赫炎·戎袭之击 (芳草姑苏) , RH_bow_009, RH_bow_009,
心幽 (解荒风) , RH_sword_170, RH_sword_170,
无依重剑 (踏遍) , D007166, D007166,
渡劫 (诺言) , RH_wand_034, RH_wand_034,
瀚海玉龙 (今何往) , RH_Spear_007, RH_Spear_007,
玄中古剑 (无尘) , D007047, D007047,
冰河·惊岚轻剑 (苍然伟物) , RH_sword_105, RH_sword_105,
破阵踏霄·饮饯刀 (诛魔) , LH_BDdagger_049, RH_BDknife_049,
威震诸侯·幽锦琴 (千鹤响) , LH_piano_017, RH_blade_017,
机中锦 (蘸蓝) , RH_brush_138, RH_brush_138,
炽焰燃烽·秋流刀 (剑阁横断) , LH_BDdagger_005, RH_BDknife_005,
启荣 (难凭浮世) , RH_knife_016, RH_knife_016,
蚩祖血刃 (愚公) , D007185, D007185,
长辩 (乱香残夜) , San_024, San_024,
桃李清风·奔虹弩 (几悲欢) , RH_bow_005, RH_bow_005,
剑啸青穹·南湘剑 (一线轻舟) (一线轻舟·一) , RH_sword_218, RH_sword_218,
气荡沧溟·玄鹤 (乱香残夜) , San_024, San_024,
苍天鹤血·法游剑 (悟净邪月) , RH_sword_122b, RH_sword_122b,
蛟游 (天涯鸿飞) , RH_sword_324, RH_sword_324,
壬梦笛 (蝉声未绝) , D011080, D011080,
义薄云天·灵霄剑 (长欢) , RH_sword_046, RH_sword_046,
龙蛇舞 (难觅) , D007046, D007046,
飞澜·冰麾 (零落) , RH_Sword_010, RH_Sword_010,
测试装备 (碧千帆) , LH_shield_003, RH_pike_003,
足闻 (崖边日暮) , RH_sword_328, RH_sword_328,
樱花醉·缠 , RH_sword_215d, RH_sword_215h,
灵山雷音 , RH_wand_094c, RH_wand_094c,
寂花双剑 (倩魂觉) , RH_sword_272, RH_sword_272,
枫木琴 (贪古调) , LH_piano_001, RH_blade_001,
梅落晚英 (相思不苦·二) (相思不苦·三) (相思不苦·五) , RH_sword_197, RH_sword_197,
横剑千岩·丹凤借枝 (卷烟涛) (卷烟涛·一) , D011073, D011073,
壮志凌云·宓妃双剑 (孤痴) , D007143, D007143,
 (万顷春水) , D007302b, D007302b,
初风 (碧千帆) , LH_shield_003, RH_pike_003,
十方冰裂 , D007404c, D007404c, , C_藏剑小橙武_重剑01
精致长剑 (永昼) , RH_sword_022, RH_sword_022,
雪渊龙吟·烨磊弩 (何幸如之) (何幸如之·一) , RH_bow_038, RH_bow_038,
隼击 (载地) , LH_shield_002, RH_pike_002,
寻踪觅宝·故园同 (诸侯征勋) , LH_shield_066, RH_pike_067,
壮志凌云·雁鸣轻剑 (狱水梅池) , D007143, D007143,
天地困人·连年不悟 (迦陵) , RH_wand_147, RH_wand_147,
碧鹫 (洞箍) , RH_knife_037, RH_knife_037,
兼云侗笛 (雷鸣) , D011005, D011005,
霜莹刃 (暮江孤舟) (暮江孤舟·一) , D007172, D007172,
庚逍琴 (道吾不还) , LH_piano_021, RH_blade_002,
寻踪觅宝·厉师 (再碎铁衣) , RH_spear_107, RH_spear_107,
燕雷琴 (若言有声) , LH_piano_002, RH_blade_002,
蒙定 (风吹新荷) , Lh_stick_002, RH_flagon_017,
书迟双剑 (豪纵非半) (豪纵非半·一) , RH_sword_185b, RH_sword_185b,
点墨 (潇湘寒琼) , RH_brush_154, RH_brush_154,
降怪枪 (能元) , RH_spear_008, RH_spear_008,
寻踪觅宝·抟鹏九天 (流火观) , RH_knife_058, RH_knife_058,
金城刀 (破宵盈空) , LH_shield_065, RH_pike_066,
金戈涉川·穆宣 (已相顾) , RH_knife_077, RH_knife_077,
紫萝怨·意 , RH_brush_116c, RH_brush_116c, , C_万花90小橙武01
扬露 (飘零难寄) , RH_brush_152, RH_brush_152,
金戈涉川·展鸣 (悬流) , LH_piano_070, RH_blade_001,
癸池笔 (风冻流云) , RH_brush_134, RH_brush_134,
血战黄泉·垂波琴 (轩昂色) , LH_piano_014, RH_blade_014,
临冰 (蘸蓝) , RH_brush_138, RH_brush_138,
妖梦 (萧风叹) , D011111, D011111,
别孤城 (轩昂色) , LH_piano_014, RH_blade_014,
无我棍 (棱波) , RH_wand_018, RH_wand_018,
煞心焚骨·苌弘琴 (仙音渺) (仙音渺·一) , LH_piano_077b, RH_blade_065b,
少阳 (阳关叠) , D007108, D007108,
却忆 (孤云何系) , LH_shield_083, RH_pike_083,
威震天下·冷桐笔 (问棋语) , RH_brush_119, RH_brush_119,
落玉琴 (突然多梦) , LH_piano_023, RH_blade_003,
渐离刀 (刺锋) , San_028, San_028,
南与北 (开国戒持·二) (开国戒持·三) (开国戒持·五) , RH_wand_111, RH_wand_111,
紫蒙野风 (玉千杆) , RH_bow_007, RH_bow_007,
气荡沧溟·寒夜秋声 (祭月) (祭月·一) , Lh_stick_040b, RH_flagon_076b,
寻踪觅宝·法云 (高楼冥想) , RH_wand_120, RH_wand_120,
越阡 (悲白) , LH_BDdagger_007, RH_BDknife_007,
蓬壶 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
啸月，孤狼之傲 (汉道) , RH_spear_067, RH_spear_067,
孤心笔 (歌狂) , RH_brush_023, RH_brush_023,
大戒律杖 (金箍) , RH_wand_014, RH_wand_014,
寒崖 (淇水殇) , RH_bow_096, RH_bow_096,
炙锋枭战·落梅弩 (寒鸦夜聚) (寒鸦夜聚·一) , RH_bow_054, RH_bow_054,
披沙剖璞 (同游) (同游·一) (同游·二) , RH_brush_091, RH_brush_091,
殇魂宫笛 (僧渡) , D011003, D011003,
煞·涯风嘲雨 , Lh_stick_022, RH_flagon_058, G_丐帮95级橙武棍红黑版_01HD, G_丐帮95级橙罐红黑版_01HD
明镜微尘 (今生苦) , RH_wand_122, RH_wand_122,
倚仙，别离之舞 (古稀) , RH_Sword_088, RH_Sword_088,
南风赫炎·泽霈双剑 (迟归) , RH_sword_039, RH_sword_039,
气吞万里 (孤屿) , LH_shield_006, RH_pike_006,
南冥天池 (幻望仙歌) (幻望仙歌·一) , RH_sword_209, RH_sword_209,
承德棍 (今生苦) , RH_wand_122, RH_wand_122,
蝶恋 (笑驱锋芒) , RH_sword_171b, RH_sword_171b,
昊穹·驺虞棒 (怕入丹图) (怕入丹图·一) , Lh_stick_004, RH_flagon_041,
纵横四海·北荒玄冥 (松竹云隐) (松竹云隐·一) , RH_sword_308b, RH_sword_308b,
测试装备 , RH_bow_031, RH_bow_031,
逐鹿天下·情暖古琴 (一生任性) , LH_piano_022, RH_blade_003,
畅梦观云·颜夕琴 (轩昂色) , LH_piano_014, RH_blade_014,
孤霞重剑 (风雨终) , D007386, D007386,
影香 (蚕鱼人烟·二) (蚕鱼人烟·三) (蚕鱼人烟·五) , RH_bow_049, RH_bow_049,
亢烈枪 (寒江) , RH_spear_133, RH_spear_133,
亢金盾刀 (破寰) , LH_shield_076, RH_pike_076,
津树笔 (燕来) , RH_brush_074, RH_brush_074,
剑鸣八荒·醉醨棍 (祭月) (祭月·一) , Lh_stick_040b, RH_flagon_076b,
寒飞棍 (遗忘) , RH_wand_029, RH_wand_029,
厉风 (点花泪) , San_039, San_039,
水龙吟·初荷 , RH_sword_320b, RH_sword_321b,
白崖 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
知音觅兮·且歌 (道吾不还) , LH_piano_021, RH_blade_002,
纵江南 (碧翠青香·二) (碧翠青香·三) (碧翠青香·五) , Lh_stick_006, RH_flagon_040,
雁足棒 (风吹新荷) , Lh_stick_002, RH_flagon_017,
志若鸿鹄·乐帝剑 (幻望仙歌) (幻望仙歌·一) , RH_sword_209, RH_sword_209,
赤魂炎狼·战锋 , RH_spear_141b, RH_spear_141b,
肃繁枪 (战芜) , RH_spear_131, RH_spear_131,
霓裳微笛 (唱彻金河) , D011094, D011094,
磨损的飞星匣 (云遮眉) , RH_bow_001, RH_bow_001,
茅初 (悲白) , LH_BDdagger_007, RH_BDknife_007,
究极风剑 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
惊初霁 (凝眸) , D007031, D007031,
 (风吹新荷) , Lh_stick_002, RH_flagon_017,
立极 (香绝) , RH_sword_005, RH_sword_005,
虹鬼 (茅舍疏篱) , Lh_stick_006, RH_flagon_012,
激水翦风·谦诚琴 (千鹤响) , LH_piano_017, RH_blade_017,
交辉·耀 , RH_knife_055b, RH_knife_055b,
文杏剑 (大道寂寥) , RH_sword_242, RH_sword_242,
松歌墨舞 (绝世) , RH_brush_032, RH_brush_032,
纳海 (千古浮变) , RH_wand_097, RH_wand_097,
欲尘 (澹云) , RH_wand_038, RH_wand_038,
梦寐萦怀 (落日风) (落日风·一) , RH_Sword_069, RH_Sword_069,
斐流双剑 (幽篁) , RH_sword_301, RH_sword_301,
真鸿 (枯九折) (枯九折·一) , RH_wand_115, RH_wand_115,
枕戈待战·朝芙双剑 (舞靥) , RH_sword_304, RH_sword_304,
文韬武略·幽旨弩 (刺谗走壑) , RH_bow_072, RH_bow_072,
月蚀·泷涧盾刀 (与谁同) , LH_shield_007, RH_pike_007,
青刃 (先生莫猜) (先生莫猜·一) , RH_sword_165b, RH_sword_165b,
相思锦年·宿寒枪 (未亡途) , RH_spear_112, RH_spear_112,
知音觅兮·舜华 (重试卷) , RH_sword_110, RH_sword_110,
齐日月 (乱心月刃) , RH_knife_064, RH_knife_064,
虎贲·蒲犁杖 (千古浮变) , RH_wand_097, RH_wand_097,
白露 (欲说千年) , Lh_stick_007, RH_flagon_011,
振策 (乱香残夜) , San_024, San_024,
妆画眉 (开山) , RH_brush_037, RH_brush_037,
至尊剔骨刀·刀功 (冷落) , D007154, D007154,
开函谷 (峰撑空寒) (峰撑空寒·一) (峰撑空寒·二) (峰撑空寒·三) , RH_knife_052, RH_knife_052,
百足独行 (今朝相伴) , D011001, D011001,
吞吴 , RH_sword_115, RH_sword_115, , RH_sword_115吞吴
四海家笔 (不知吾身) , RH_brush_101, RH_brush_101,
 (白璧青樱) , RH_wand_102, RH_wand_102,
惊烟 (贪古调) , LH_piano_001, RH_blade_001,
秀睿 (相依) , RH_Sword_045, RH_Sword_045,
思青簟 (暖画) , RH_brush_139, RH_brush_139,
隆方 (灵台雪饮) , RH_bow_040b, RH_bow_040b,
掇蜂 (玉千杆) , RH_bow_007, RH_bow_007,
夷齐魂 (桃源) , RH_brush_053, RH_brush_053,
千家柳 (暴云) , LH_shield_001, RH_pike_001,
寻踪觅宝·崖开 (流火观) , RH_knife_058, RH_knife_058,
青翊强弩 (挽香) , RH_bow_012, RH_bow_012,
逸霄听雨·悬令盾刀 (水汽冰镜) , LH_shield_004, RH_pike_004,
凤展双剑 (解荒风) , RH_sword_170, RH_sword_170,
浩漫刀 (十六故臣) , LH_BDdagger_025, RH_BDknife_025,
元思 (白璧青樱) , RH_wand_102, RH_wand_102,
等持 (提婆因陀) , RH_wand_140, RH_wand_140,
星罗·潇雨弓 (夜归龙) , RH_bow_022, RH_bow_022,
气荡沧溟·伐国 (关山残月) (关山残月·一) , RH_spear_134b, RH_spear_134b,
凤鸣笔 (沧海) , RH_brush_013, RH_brush_013,
寻踪觅宝·云青欲雨 (送春日) , RH_spear_088b, RH_spear_088b,
昏日 (荒骨吹) , D011096, D011096,
茅初 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
璜台飞星 (公侯家·一) (公侯家) , RH_brush_059, RH_brush_059,
静笃剑 (平落清溪) , RH_sword_169, RH_sword_169,
尚贤之剑 (荒台) , RH_sword_017, RH_sword_017,
秋江暮色 (冷桥) , D007283, D007283,
大厨擀面杖·火候 (浓) , RH_wand_047, RH_wand_047,
辅翼 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
不觉醉 (风吹新荷) , Lh_stick_002, RH_flagon_017,
银钩 (襄王) , RH_brush_034, RH_brush_034,
龙威·大月剑 (梦中渔人) , RH_sword_150, RH_sword_150,
解语 , RH_sword_144, RH_sword_144,
星罗·酡然棒 (波浪潮头) , Lh_stick_005, RH_flagon_025,
崇莱 (青橙) , D011034, D011034,
 (笑驱锋芒) , RH_sword_171b, RH_sword_171b,
清风 (芙蓉动) , RH_sword_273, RH_sword_273,
芙蓉绿水 (红颜吹度·二) (红颜吹度·三) (红颜吹度·五) , RH_brush_110, RH_brush_110,
沙眠 (悲白) , LH_BDdagger_007, RH_BDknife_007,
立天道 (与谁同) , LH_shield_007, RH_pike_007,
道冲剑 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
语海笛 (霸图) (霸图·一) , D011065b, D011065b,
少林内功威望武器 (鲸海) , RH_wand_052b, RH_wand_052b,
霜界刀 (不净罪刃) , RH_knife_051, RH_knife_051,
佛战 (倾海流涎) (倾海流涎·二) , RH_wand_100b, RH_wand_100b,
白龙豪芒 (燕来) , RH_brush_074, RH_brush_074,
悲辛千载 (落日尘轻) (落日尘轻·一) (落日尘轻·二) (落日尘轻·三) , RH_sword_205, RH_sword_205,
惟清·甘棠双剑 (旧侣生平) (旧侣生平·一) , RH_sword_199, RH_sword_199,
万劫太极重剑 (行藏) (行藏·一) (行藏·二) (行藏·三) , D007322, D007322,
燕影袭 (云遮眉) , RH_bow_001, RH_bow_001,
飘风剑 (散人) , RH_sword_032, RH_sword_032,
铁笛 (今朝相伴) , D011001, D011001,
复霜 (昭唐) , RH_knife_083, RH_knife_083,
思有神 (碧千帆) , LH_shield_003, RH_pike_003,
壬醴棒 (中宵携壶) , Lh_stick_016, RH_flagon_052,
相思锦年·碧晚剑 (太上度人) , RH_sword_239, RH_sword_239,
离梦·鸾凤宿 (道吾不还) , LH_piano_021, RH_blade_002,
